node_id,father_id,sequence
136,0,1
276,136,1
173,276,1
174,276,2
327,276,3
33,136,2
268,33,1
53,33,2
12,33,3
13,33,4
14,33,5
15,33,6
160,136,3
328,160,1
137,0,2
41,137,1
40,41,1
201,41,2
44,41,3
43,137,2
34,43,1
42,43,2
115,43,3
186,43,4
272,43,5
45,137,3
168,45,1
169,45,2
165,45,3
161,45,4
182,45,5
184,45,6
46,137,4
330,46,1
166,46,2
217,46,3
220,46,4
256,46,5
301,46,6
309,46,7
47,137,5
258,47,1
267,47,2
331,47,3
11,47,4
138,0,3
48,138,1
180,48,1
181,48,2
202,48,3
203,48,4
190,48,5
49,138,2
204,49,1
195,49,2
198,49,3
199,49,4
50,138,3
191,50,1
192,50,2
51,50,3
52,50,4
257,50,5
316,50,6
317,50,7
179,30,1
139,0,4
3,139,1
24,3,1
29,3,2
38,3,3
1,139,2
265,1,1
253,1,2
141,1,3
120,1,4
236,1,5
249,1,6
255,1,7
250,1,8
4,139,3
140,4,1
163,4,2
187,4,3
188,4,4
189,4,5
193,4,6
2,139,4
5,2,1
171,2,2
6,2,3
7,2,4
8,2,5
175,139,5
9,175,1
194,333,1
333,160,3
37,160,2
39,37,1
178,333,2
30,49,5
32,333,3
31,47,5
10,175,3
246,175,2
