ID,field_name,val_en,val_cz,val_de
1,home,Home,Domu,
2,stone,Stones,Kamenar,
3,plant,Plants,Herbar,
4,anima,Animal,Animar,
5,planet,Planets,Planety,
6,calc,Calculator,Kalkulátor,
7,rest,Restaurant,Restaurace,
8,database,Database,Databáze,
9,rss,RSS,RSS,
10,music,Music,Hudba,
11,maps,Mapping,Mapy,
12,test,Testing,Testovací,
13,shop,Shop,Nakupovat,
14,search,Search,Hledat,
15,pass,Enter password,Nutno zadat heso,
16,today,Today,Dnes,
17,is,is,je,
18,name,celebrates,má svátek ,
19,week,Week,Týden,
20,day,Day in year,Den v roce,
21,hello,Hello,Vítej,
22,login,Login,Přihlásit,
23,logout,Logout,Odhlásit,
24,element,Elements,Prvky,
25,material,Materials,Suroviny,
26,cite,Cites,Citáty,
27,radio,Radio,Rádio,
