ID,Nazev,Kapela,Umelci,Album,Rok,Label
1,THE MAGNIFICENT SEVEN,THE CLASH,,SANDINISTA!,,
2,Mas Que Nada,JORGE BEN,Jorge Ben,,,
3,Early Mourning,THE MISERABLE RICH,,,,
4,ALL I WANNA DO,MATHIEU BOOGAERTS,,,,
5,Budapest,George Ezra,George Ezra,Budapest,2014,
6,Yoshi Smokey Joe And The Kid,Prohibition (Feat. Yoshi),,,,
7,Birds In Books,Gong Gong,,,,
8,MALI CUBA,AFROCUBISM,,AFROCUBISM,,
9,KING GIZZARD & LIZZARD WIZARD,TODD TERJE,,,,
10,Soubour,SONGHOY BLUES,,,,
11,Guitar Makossa,FRANCIS BEBEY,,,1963,
12,Night Life,Amon Tobin,,Permutation,1998,
13,Libellules Impermanence,Agoria,,,2010,
14,Walk Walk,Yael Naim,,,,
15,Los Chucos Suaves,RY COODER,,,,
16,All I Want Is You,Mounika,,,,
17,We Are Dreamers !,Tindersticks,,,,
18,In a persian market,Richie Allen Orchestra,,,,
19,Beyond The Son,Koop,,,,
20,Life Is Good,Dj Champion,,Best Seller,2016,
21,L Hotel Particulier,Les Rita Mitsouko,,SYSTEME D,1993,
22,Variations Sur Casse Noisette : Marche,Quatuor Vendome,,Une Soiree A L Opera,2015,Klarthe
23,Yafaké,Victor Demé,,,,
24,African Woman,Ebo Taylor,,Love And Death,2010,Strut Record
25,Saint,Noze,,Come With Us,2015,Circus Company
26,Baby Elephant Walk,Henry Mancini,,Pure Gold/henry Mancini,1962,
27,Three Is The Magic Number,Bob Dorough,,Album : Compilation Blue Break Beats Volume Four,1972,
28,Cumbia Sobre El Mar,Quantic Presenta Flowering Inferno,,DOG WITH A ROPE,2010,
29,Bristol,Herman Dune,,Giant,2006,Source
30,Paris Blues,Joe Turner T Bone Walker Otis Spann,,Super Black Blues,1969,
31,Les Ecrans,Zoufris Maracas,,CHIENNE DE VIE,2015,
32,Lakme : Dome Epais Le Jasmin (Acte I) Duo Lakme Mallika,Janice Watson,,La Pub Se La Joue Classique,1999,Rca
33,Love In Outer Space,Sun Ra,,The Night Of The Purple Moon,1970,
34,The Land Of,Matthew Halsall And The Gondwana Orchestra,,Into Forever,2015,Gondwana Records
35,I Chase The Devil Aka Ironshirt,Madness,,,,
36,Ocean Wave,Jack Dejohnette,,,,
37,KICKS,Lou Reed,,CONEY ISLAND BABY,,
38,Malgeniosa,Chico Trujillo,,,,
39,Plage Isolee,Polo & Pan,,,,
40,Caballito De Siete Colores,CUMBIA ALL STARS,,,,
41,TITRE EN JAPONAIS,HARUOMI HOSONO,,TROPICAL DANDY,,
42,Do you remember,Ane Brun,,,,
43,,Oliver Mtukudzi and the Black Spirits,,,,
44,The Message,Grandmaster Flash & The Furious Five,,The Message,1982,Sugarhill
45,PRSI PRSI,THE BRIAN JONESTOWN MASSACRE,,PISH,,
46,Sarba,Laura Larvic,,,,
47,Too Drunk To Fuck,Nouvelle Vague,,Nouvelle Vague,2004,
48,SUBLIME/JUN MIYAKE,CHINCHILLA,,LUDIC,,
49,Sorrow Tears And Blood,Shola Adisa Farrar,,Lost Myself,2016,Hot Casa Records
50,Bam Bam,Chaka Demus & Pliers,,Tease Me,1994,
51,Tease Me,Chaka Demus & Pliers,,Tease Me,1994,
52,Rampoka,Solly Sebotso,,I'm not here to hunt rabbits,2018,
53,Kahl El Inin,Ammar 808,,Maghreb United,,
54,Suite Bergamasque : Passepied,Punch Brothers,,The Phosphorescent Blues,2015,Nonesuch Records
55,Seven Nation Army,Haley Reinhart,,Scott Bradlee S Postmodern Jukebox / The Essentials,2017,Concord Music Group
56,Some Things (Feat. Rodney P & Tiece),The Herbaliser,,Bring Out The Sound,2018,Barely Breaking Even
57,Abu Simbel,Ali Hassan Kuban,,Real Nubian,,
58,Blow,Orchestre Tout Puissant Marcel Duchamp,,Sauvage formes,2018,LES DISQUES BONGO JOE
59,Rude boy come a jail,Desmond Baker & The Clarendonians,,Studio One : Rude boy,2016,SOUL JAZZ RECORDS
60,Soldier feat. Big Red & 5nizza,Dj Vadim,,U can't lurn imaginashun,2009,BBE
61,Theory of relativity,Nightbirds,,Musique ambiante française,2017,TIGERSUSHI
62,I love echo,Symbiz Sound,,King size dub Germany downtown II,2016,ECHO BEACH
63,No Cd (Feat. Rebel Kleff),Loyle Carner,,Yesterday S Gone,2017,Amf Records
64,Me done,Noiseshaper,,Dub anthology,,WAGRAM
65,She won't let me fuck,Afroman,,The good times,2001,UNIVERSAL RECORDS
66,Fletch,Heavy stepper,Marcus Fletcher,Heavy stepper,2003,7 HILLS RECORDS
67,I fought the law,The Jolly Boys,,Great expectation,2010,WALL OF SOUN
